last_name,first_name,votes_with_party_pct,votes_against_party_pct,votes_against_party_pct,missed_votes_pct
Baldwin,Tammy,99.45,0.55,0.55,0.0
Barrasso,John,94.94,5.06,5.06,2.19
Bennet,Michael,98.9,1.1,1.1,0.55
Blackburn,Marsha,90.8,9.2,9.2,4.37
Blumenthal,Richard,99.45,0.55,0.55,0.0
Blunt,Roy,90.29,9.71,9.71,3.83
Booker,Cory,99.45,0.55,0.55,1.09
Boozman,John,97.25,2.75,2.75,0.0
Braun,Mike,88.95,11.05,11.05,0.55
Brown,Sherrod,100.0,0.0,0.0,0.55
Burr,Richard,85.23,14.77,14.77,3.28
Cantwell,Maria,100.0,0.0,0.0,4.37
Capito,Shelley,90.06,9.94,9.94,0.55
Cardin,Benjamin,99.45,0.55,0.55,1.09
Carper,Thomas,98.36,1.64,1.64,0.0
Casey,Bob,98.36,1.64,1.64,0.0
Cassidy,Bill,92.27,7.73,7.73,0.55
Collins,Susan,67.58,32.42,32.42,0.0
Coons,Christopher,98.91,1.09,1.09,0.0
Cornyn,John,93.37,6.63,6.63,0.55
Cortez Masto,Catherine,98.91,1.09,1.09,0.0
Cotton,Tom,87.91,12.09,12.09,0.0
Cramer,Kevin,88.55,11.45,11.45,8.74
Crapo,Michael,93.37,6.63,6.63,0.55
Cruz,Ted,82.87,17.13,17.13,0.55
Daines,Steve,92.82,7.18,7.18,0.55
Duckworth,Tammy,98.91,1.09,1.09,0.0
Durbin,Richard,99.45,0.55,0.55,0.0
Ernst,Joni,95.05,4.95,4.95,0.0
Feinstein,Dianne,99.45,0.55,0.55,0.0
Fischer,Deb,94.51,5.49,5.49,0.0
Gillibrand,Kirsten,99.45,0.55,0.55,0.0
Graham,Lindsey,86.74,13.26,13.26,0.55
Grassley,Charles,85.71,14.29,14.29,0.0
Hagerty,Bill,91.16,8.84,8.84,0.55
Harris,Kamala,100.0,0.0,0.0,0.0
Hassan,Margaret,98.36,1.64,1.64,0.0
Hawley,Joshua,81.87,18.13,18.13,0.0
Heinrich,Martin,99.44,0.56,0.56,3.28
Hickenlooper,John,98.35,1.65,1.65,0.55
Hirono,Mazie,100.0,0.0,0.0,4.37
Hoeven,John,90.11,9.89,9.89,0.0
Hyde-Smith,Cindy,94.94,5.06,5.06,2.19
Inhofe,James,96.09,3.91,3.91,1.64
Johnson,Ron,93.37,6.63,6.63,0.55
Kaine,Tim,98.91,1.09,1.09,0.0
Kelly,Mark,98.36,1.64,1.64,0.0
Kennedy,John,93.33,6.67,6.67,1.09
King,Angus,98.36,1.64,1.64,0.0
Klobuchar,Amy,100.0,0.0,0.0,2.19
Lankford,James,95.05,4.95,4.95,0.0
Leahy,Patrick,100.0,0.0,0.0,1.64
Lee,Mike,84.83,15.17,15.17,2.19
Loeffler,Kelly,100.0,0.0,0.0,0.0
Luján,Ben,99.45,0.55,0.55,0.55
Lummis,Cynthia,92.09,7.91,7.91,2.73
Manchin,Joe,89.07,10.93,10.93,0.0
Markey,Edward,99.45,0.55,0.55,0.0
Marshall,Roger,89.39,10.61,10.61,1.64
McConnell,Mitch,93.41,6.59,6.59,0.0
Menendez,Robert,100.0,0.0,0.0,0.0
Merkley,Jeff,98.91,1.09,1.09,0.0
Moran,Jerry,95.29,4.71,4.71,6.56
Murkowski,Lisa,75.56,24.44,24.44,1.09
Murphy,Christopher,99.45,0.55,0.55,0.0
Murray,Patty,99.44,0.56,0.56,2.19
Ossoff,Jon,99.45,0.55,0.55,0.0
Padilla,Alex,100.0,0.0,0.0,0.0
Paul,Rand,83.02,16.98,16.98,12.57
Peters,Gary,98.91,1.09,1.09,0.0
Portman,Rob,82.78,17.22,17.22,1.09
Reed,Jack,100.0,0.0,0.0,0.0
Risch,Jim,92.82,7.18,7.18,0.55
Romney,Mitt,83.98,16.02,16.02,0.55
Rosen,Jacky,98.91,1.09,1.09,0.0
Rounds,Mike,91.3,8.7,8.7,11.48
Rubio,Marco,88.83,11.17,11.17,1.64
Sanders,Bernard,98.9,1.1,1.1,1.09
Sasse,Ben,89.94,10.06,10.06,1.64
Schatz,Brian,100.0,0.0,0.0,0.0
Schumer,Charles,100.0,0.0,0.0,0.0
Scott,Tim,89.33,10.67,10.67,2.19
Scott,Rick,85.39,14.61,14.61,2.19
Shaheen,Jeanne,98.89,1.11,1.11,1.64
Shelby,Richard,90.0,10.0,10.0,6.56
Sinema,Kyrsten,97.27,2.73,2.73,0.0
Smith,Tina,100.0,0.0,0.0,2.19
Stabenow,Debbie,99.45,0.55,0.55,0.0
Sullivan,Dan,84.72,15.28,15.28,20.77
Tester,Jon,96.15,3.85,3.85,0.55
Thune,John,97.79,2.21,2.21,0.55
Tillis,Thom,94.61,5.39,5.39,8.2
Toomey,Patrick,94.01,5.99,5.99,8.2
Tuberville,Tommy,84.53,15.47,15.47,0.55
Van Hollen,Chris,99.45,0.55,0.55,0.55
Warner,Mark,99.45,0.55,0.55,0.55
Warnock,Raphael,99.44,0.56,0.56,1.66
Warren,Elizabeth,98.91,1.09,1.09,0.0
Whitehouse,Sheldon,100.0,0.0,0.0,1.09
Wicker,Roger,97.25,2.75,2.75,0.0
Wyden,Ron,99.45,0.55,0.55,0.0
Young,Todd,95.58,4.42,4.42,0.55
